29,3,189.50,115.94,56.16,196.19,0.85,-1,-1,-1
30,1,120.92,108.44,71.43,205.52,0.94,-1,-1,-1
30,2,31.77,92.87,71.43,232.85,0.92,-1,-1,-1
30,3,185.02,115.45,58.29,198.72,0.84,-1,-1,-1
31,1,122.17,109.42,71.15,204.20,0.94,-1,-1,-1
31,2,33.32,92.32,71.46,233.16,0.92,-1,-1,-1
31,3,180.84,115.75,60.14,200.06,0.89,-1,-1,-1
32,1,123.61,110.72,70.86,202.81,0.94,-1,-1,-1
32,2,34.75,91.36,71.59,233.72,0.93,-1,-1,-1
32,3,178.03,116.10,61.50,200.30,0.89,-1,-1,-1
33,1,125.11,111.61,70.60,201.46,0.94,-1,-1,-1
33,2,36.24,90.70,71.68,234.22,0.92,-1,-1,-1
33,3,175.91,116.46,62.74,200.71,0.90,-1,-1,-1
34,1,126.41,112.52,70.35,200.26,0.95,-1,-1,-1
34,2,37.53,89.10,72.20,236.06,0.92,-1,-1,-1
34,3,174.07,116.61,63.75,201.12,0.91,-1,-1,-1
35,1,127.58,113.68,70.18,199.17,0.95,-1,-1,-1
35,2,39.06,88.66,72.25,236.58,0.92,-1,-1,-1
35,3,173.05,116.33,64.62,202.17,0.90,-1,-1,-1
36,1,129.57,114.58,70.31,198.33,0.93,-1,-1,-1
36,2,40.56,87.83,72.62,238.05,0.93,-1,-1,-1
36,3,171.97,116.15,64.93,202.45,0.91,-1,-1,-1
37,1,131.25,115.35,70.37,197.30,0.92,-1,-1,-1
37,2,42.80,87.15,73.02,239.26,0.93,-1,-1,-1
37,3,170.64,116.08,65.05,202.52,0.92,-1,-1,-1
38,1,132.71,116.22,70.19,196.05,0.91,-1,-1,-1
38,2,46.58,87.14,73.55,239.02,0.93,-1,-1,-1
38,3,170.11,115.87,64.96,202.84,0.91,-1,-1,-1
39,1,133.52,116.78,69.66,194.75,0.92,-1,-1,-1
39,2,50.54,87.15,74.59,238.90,0.93,-1,-1,-1
39,3,169.06,115.41,64.93,203.61,0.91,-1,-1,-1
40,1,134.31,117.11,68.99,193.56,0.91,-1,-1,-1
40,2,53.74,87.40,75.79,238.75,0.93,-1,-1,-1
40,3,168.12,114.87,64.74,204.25,0.91,-1,-1,-1
41,1,133.61,116.90,67.90,192.85,0.91,-1,-1,-1
41,2,55.99,86.91,77.36,239.59,0.92,-1,-1,-1
41,3,167.16,115.04,64.16,203.63,0.91,-1,-1,-1
42,1,135.40,117.10,66.36,190.95,0.91,-1,-1,-1
42,2,57.62,86.88,78.86,240.34,0.93,-1,-1,-1
42,3,166.20,114.78,63.58,203.55,0.90,-1,-1,-1
43,1,138.17,116.92,64.90,188.68,0.90,-1,-1,-1
43,2,58.41,86.43,80.35,241.36,0.93,-1,-1,-1
43,3,165.56,114.57,62.93,203.76,0.90,-1,-1,-1
44,1,140.22,116.91,64.11,188.74,0.88,-1,-1,-1
44,2,58.82,86.20,81.54,242.11,0.93,-1,-1,-1
44,3,163.82,114.46,62.46,203.55,0.88,-1,-1,-1
45,1,142.19,116.66,63.00,188.27,0.88,-1,-1,-1
45,2,59.29,85.97,82.61,242.98,0.93,-1,-1,-1
45,3,162.81,114.15,62.03,204.02,0.90,-1,-1,-1
46,1,144.12,116.93,61.94,187.91,0.88,-1,-1,-1
46,2,60.14,85.44,83.63,244.04,0.92,-1,-1,-1
46,3,162.80,114.16,61.21,203.61,0.92,-1,-1,-1
47,1,146.55,116.79,61.56,188.05,0.82,-1,-1,-1
47,2,61.19,84.35,84.37,245.63,0.89,-1,-1,-1
47,3,161.96,113.75,60.86,204.76,0.92,-1,-1,-1
48,2,62.21,83.72,85.00,247.49,0.90,-1,-1,-1
48,3,158.68,113.30,61.14,206.24,0.88,-1,-1,-1
49,2,63.86,82.74,84.93,248.62,0.91,-1,-1,-1
49,3,155.14,113.14,61.23,206.03,0.89,-1,-1,-1
50,2,66.14,81.02,84.77,250.38,0.92,-1,-1,-1
50,3,152.76,112.55,61.94,208.28,0.92,-1,-1,-1
51,2,69.07,79.48,84.68,252.52,0.93,-1,-1,-1
51,3,150.44,112.68,62.30,208.32,0.91,-1,-1,-1
